0,1,2,3
18,27,66,122
26,89,117,121
26,78,115,116
10,51,67,123
26,83,90,113
5,22,24,40
18,35,48,52
24,25,90,123
14,31,105,118
3,10,24,49
73,76,79,111
0,35,36,108
5,49,66,78
5,20,50,56
3,10,48,73
89,107,115,116
49,92,116,124
20,54,70,93
35,54,64,83
3,20,63,117
2,62,99,109
21,54,62,74
0,31,58,116
39,55,104,116
24,58,92,108
3,10,51,53
10,20,88,105
0,54,77,117
6,28,81,125
20,54,62,74
3,22,78,91
5,22,27,102
33,35,50,69
4,15,50,116
3,10,14,117
28,49,104,116
20,30,66,71
49,89,103,105
34,59,71,79
39,43,78,109
19,40,44,113
11,100,102,117
66,73,75,105
19,24,97,117
52,91,101,113
0,57,97,123
39,45,88,123
23,33,54,115
41,71,111,112
20,54,87,95
22,33,50,57
1,39,53,94
29,45,52,83
11,71,76,110
19,82,105,107
50,72,95,107
21,24,30,117
11,42,49,76
7,12,89,105
3,46,64,97
50,81,111,116
25,26,56,104
44,73,116,117
2,10,78,126
