0,1,2,3
0,31,37,52
0,15,19,57
31,38,40,51
9,14,25,34
4,34,45,50
7,26,37,38
1,13,21,32
15,21,29,50
11,13,20,21
31,44,56,63
15,18,47,63
15,23,32,51
19,28,29,55
9,19,49,53
17,18,44,63
6,16,17,52
6,23,36,42
37,38,41,58
5,46,56,59
0,10,21,29
18,21,36,40
8,21,37,51
11,15,28,51
1,3,25,40
13,23,42,58
3,9,14,62
2,35,41,51
14,17,39,63
9,22,34,35
4,19,35,37
3,9,46,59
0,12,50,60
4,7,31,62
0,4,17,34
31,34,44,57
12,42,50,60
20,34,62,63
7,9,25,45
11,13,18,60
11,39,57,63
29,35,36,61
10,47,49,51
6,19,37,45
16,43,60,62
6,7,18,49
9,43,56,59
2,19,46,58
1,7,23,45
3,9,14,35
2,17,20,62
24,37,44,62
6,15,37,53
20,26,32,37
29,33,43,46
21,23,38,57
8,24,52,54
1,27,29,46
22,41,53,63
14,23,30,40
0,10,11,19
1,23,35,55
12,16,37,42
3,7,40,43
46,50,52,59
