0,1
2,3
6,12
7,10
2,14
1,8
3,14
8,14
4,15
9,14
4,11
3,14
3,4
0,15
3,13
6,8
3,9
2,4
5,13
3,9
9,14
1,11
11,15
2,3
0,8
4,14
2,9
10,14
3,15
1,11
7,9
11,14
7,14
0,5
7,8
1,13
0,14
4,10
0,6
1,4
11,14
3,15
9,11
6,11
1,4
2,14
4,15
3,12
10,12
2,11
0,14
0,15
4,9
14,15
0,9
5,11
3,8
0,15
2,4
14,15
13,14
0,14
3,12
14,15
4,7
4,7
4,5
10,14
11,14
13,15
0,2
3,11
0,1
0,9
9,14
2,15
5,14
4,15
6,8
6,7
1,2
9,14
3,7
3,14
5,15
6,8
0,12
0,1
0,5
3,14
10,11
10,15
2,12
6,15
4,15
7,11
10,15
4,14
0,8
0,14
2,8
3,13
3,13
11,15
1,7
1,14
9,14
1,2
6,14
12,13
0,1
2,8
9,15
4,5
3,15
11,15
9,14
13,14
3,10
4,14
4,13
6,7
0,1
5,8
9,14
4,10
6,15
5,10
11,12
