0,1,2,3,4,5,6,7
3,19,43,93,113,173,193,225
25,32,45,55,57,114,121,179
49,79,83,114,124,135,179,197
10,115,124,134,150,175,234,249
14,43,64,108,136,139,216,250
59,133,153,171,176,204,244,252
53,61,63,93,98,145,180,246
54,93,105,122,176,193,206,226
7,59,64,125,126,149,174,211
13,35,61,83,105,216,227,231
63,80,83,89,149,172,196,236
65,81,102,124,130,133,173,244
104,111,136,174,187,200,229,244
6,30,47,60,127,201,204,219
36,55,62,67,167,193,209,249
22,27,173,213,223,233,250,254
16,56,86,124,126,179,190,248
49,55,64,75,176,181,192,203
46,90,101,193,217,223,228,253
48,81,116,131,187,218,228,242
24,84,107,154,232,237,240,243
9,26,85,151,191,202,205,228
0,28,59,100,126,176,226,246
10,48,127,130,153,188,189,193
62,63,91,108,148,170,184,242
51,55,89,113,150,173,206,246
8,13,45,120,143,152,160,222
18,24,40,74,94,150,152,217
10,13,116,118,198,212,219,220
15,27,63,91,114,136,147,196
26,42,48,64,88,206,207,230
20,39,86,91,103,124,145,164
19,21,121,171,183,191,238,253
2,49,125,131,182,196,231,254
65,70,142,179,182,196,229,252
5,86,104,173,213,220,241,252
3,65,81,86,220,223,235,247
40,73,84,126,169,202,203,208
25,48,52,72,108,126,167,236
16,27,40,71,116,179,216,237
66,75,96,112,141,145,200,229
17,24,39,54,85,106,169,202
44,48,70,131,162,197,228,231
90,95,108,112,113,130,208,239
12,25,32,41,96,104,129,227
31,100,138,143,180,205,227,245
21,55,71,75,120,144,203,212
106,150,162,176,202,210,247,249
133,136,139,171,178,203,214,252
49,63,81,127,177,213,229,236
0,37,114,141,175,181,203,247
13,27,28,30,115,135,138,182
10,11,13,18,97,107,160,185
117,150,162,166,201,225,227,232
1,23,31,37,69,111,190,245
28,32,60,80,127,178,198,221
13,30,41,62,81,155,243,246
55,90,107,128,167,170,208,229
3,8,29,70,91,133,138,141
39,45,52,79,139,174,191,243
36,42,59,116,149,187,209,247
11,26,29,35,69,112,157,243
12,63,109,124,141,144,148,239
83,90,95,103,104,124,136,169
22,40,49,152,184,232,245,255
32,52,95,110,125,136,187,208
43,53,80,127,162,228,229,253
21,26,66,116,156,172,177,240
11,22,33,42,54,61,204,253
0,30,75,83,139,169,173,236
18,47,84,93,180,192,199,245
44,45,61,131,158,188,236,251
10,24,60,86,226,228,252,255
9,112,114,115,181,214,232,247
20,25,106,112,147,151,169,236
52,54,58,80,83,89,134,164
60,61,82,88,133,178,229,236
6,45,74,180,185,197,232,251
107,135,160,170,179,193,201,225
30,32,71,143,173,179,197,236
48,61,117,168,206,217,228,234
3,103,133,170,190,219,229,240
8,14,117,132,170,180,187,192
6,10,51,98,112,113,131,177
46,84,87,113,134,188,214,244
6,54,69,141,155,173,185,218
74,91,105,113,135,137,138,233
97,107,132,146,147,192,200,211
69,84,96,102,194,197,229,244
35,37,38,63,70,81,121,144
72,100,135,162,173,189,206,246
52,74,81,105,163,165,174,247
136,143,155,175,179,218,229,248
4,55,67,70,96,130,201,248
2,57,98,127,132,151,164,207
15,96,141,207,223,224,237,245
7,23,72,112,126,141,212,239
5,8,12,119,177,179,195,222
11,30,94,117,152,179,194,197
17,75,92,119,168,174,188,237
