0,1,2,3,4,5,6,7
389,485,496,541,544,549,601,608
109,229,238,314,350,514,682,710
124,127,203,276,510,513,599,628
320,368,376,400,440,464,720,721
72,75,188,202,207,434,466,559
154,155,176,235,236,237,261,263
88,210,243,273,295,348,434,741
80,122,214,272,382,412,438,633
133,175,194,234,258,286,293,398
381,416,430,438,444,471,527,545
332,410,443,465,466,480,526,700
343,347,385,456,481,483,581,637
130,161,185,216,266,270,292,417
127,180,182,209,214,238,323,721
194,209,284,288,301,366,430,457
135,376,461,487,540,548,550,717
320,327,344,345,512,583,661,687
519,598,718,743,745,747,748,749
100,190,271,274,302,331,356,406
96,268,272,281,296,298,593,596
286,327,397,415,507,519,572,714
212,214,267,268,269,443,718,736
173,181,182,232,233,376,574,641
162,263,293,324,370,375,442,451
12,64,466,546,575,632,688,689
178,215,235,239,242,297,587,597
175,177,179,183,303,329,350,368
188,293,314,323,497,516,679,774
185,212,220,358,461,517,629,636
127,245,249,358,372,413,480,685
30,428,457,458,459,460,462,513
99,128,148,263,396,452,636,637
271,292,628,683,691,693,720,745
246,330,386,414,427,565,638,743
184,204,205,521,575,718,755,777
175,244,289,294,322,577,650,662
5,93,398,522,569,627,628,707
353,405,407,426,462,466,600,626
116,226,268,323,545,563,564,736
177,370,431,487,546,608,633,635
129,156,485,486,488,490,565,568
229,514,541,544,545,568,690,705
128,131,149,236,240,270,271,437
118,193,238,321,403,434,633,708
130,215,216,242,314,385,517,538
105,124,135,206,234,290,321,507
375,488,572,600,638,711,712,713
177,179,297,303,325,366,515,661
246,400,406,461,520,658,660,668
341,368,427,575,602,624,626,628
95,160,172,377,502,650,713,774
176,205,252,261,263,290,458,537
203,265,371,373,402,485,562,625
71,327,403,406,428,458,513,695
231,260,291,350,405,428,599,771
124,288,290,402,493,520,637,662
150,151,264,273,320,409,554,611
295,328,355,413,440,467,485,495
68,229,457,469,489,534,557,673
97,215,239,246,269,271,354,717
97,157,187,249,263,272,293,659
155,160,186,233,238,242,289,293
569,570,572,574,686,705,707,710
517,603,621,627,629,651,652,714
205,217,218,261,387,399,414,473
184,272,325,331,359,386,412,440
145,264,292,456,520,555,565,586
102,104,128,162,179,324,375,376
97,120,131,507,508,564,650,743
384,406,511,513,517,524,549,644
163,321,348,402,454,483,539,579
456,491,512,513,543,576,622,623
16,203,228,271,627,650,662,718
100,124,191,220,330,360,500,557
271,296,375,400,467,485,486,690
