0,1,2,3,4,5,6,7
1,8,36,37,42,63,73,74
9,19,36,43,63,69,71,72
5,31,32,41,48,80,89,93
1,3,21,23,30,52,59,75
26,42,50,61,67,68,69,98
2,16,29,33,51,73,86,98
7,8,10,28,35,55,66,74
8,25,41,52,59,62,92,94
13,28,30,45,66,79,86,87
7,9,20,21,31,35,48,89
32,49,59,70,73,76,85,99
8,16,31,43,69,81,84,96
11,18,26,31,37,74,81,83
15,24,26,35,65,66,84,95
5,17,40,53,56,75,80,83
27,34,39,50,51,73,85,94
2,13,46,49,54,65,80,92
11,17,25,29,36,40,53,73
3,5,17,53,63,76,87,94
44,51,67,73,74,88,93,94
1,14,30,53,54,65,95,98
6,10,28,37,87,94,97,99
2,23,39,41,43,49,56,79
5,10,18,23,59,61,72,81
8,9,12,23,50,54,75,88
9,10,18,30,38,53,55,83
16,24,29,33,48,56,61,86
4,36,52,60,84,90,92,99
15,21,23,24,42,43,90,99
15,19,20,24,44,51,52,67
7,8,29,43,51,70,76,82
2,3,31,55,64,78,85,92
3,27,29,39,40,47,54,63
30,33,35,41,61,74,80,89
5,16,24,28,33,39,69,79
5,7,54,70,75,90,95,96
2,4,16,58,65,81,96,97
3,7,12,25,62,69,71,76
15,42,45,57,68,79,94,98
8,16,29,31,40,50,54,55
31,37,44,56,60,86,87,96
2,10,28,45,53,54,61,92
2,7,22,43,46,59,66,90
32,36,42,45,57,70,73,95
4,6,18,24,41,62,63,72
9,18,26,32,45,57,60,79
42,69,72,81,85,87,92,97
10,19,29,39,41,61,87,89
1,6,10,20,29,51,54,60
5,20,35,43,45,60,63,79
2,3,20,25,27,59,60,85
2,8,45,50,56,59,93,95
2,9,12,13,28,45,76,81
3,7,21,52,58,60,73,91
21,24,26,47,54,74,89,92
23,25,34,45,72,84,86,89
4,7,9,67,73,76,86,97
8,16,22,34,50,66,79,94
5,13,48,50,59,60,72,95
2,26,42,47,49,66,95,98
0,10,11,25,31,36,41,89
6,19,55,56,84,85,92,98
5,29,44,53,57,58,90,94
11,26,46,56,59,76,94,98
0,2,39,44,51,57,59,88
1,14,25,51,73,79,89,95
5,6,9,12,15,21,66,93
1,6,16,23,68,91,93,96
8,42,50,64,66,68,85,86
5,14,31,36,52,68,76,89
4,17,26,34,48,58,74,81
0,5,11,22,28,41,86,96
8,15,28,34,37,52,76,80
5,13,51,59,74,87,89,97
17,38,45,50,77,88,91,97
2,16,28,40,43,52,68,93
5,15,23,33,39,44,52,86
9,22,26,34,39,57,88,97
4,12,20,25,53,71,76,89
19,21,22,34,35,42,72,96
9,25,45,46,52,79,80,93
3,7,10,43,48,74,80,81
7,17,44,49,59,67,77,83
10,16,17,22,66,68,77,89
26,36,42,51,60,74,81,87
0,8,11,26,30,35,66,69
5,19,36,37,51,77,90,94
2,3,22,28,47,54,77,97
3,16,52,60,64,80,81,95
2,10,28,46,56,62,76,90
2,21,43,67,68,74,77,80
2,4,20,33,35,53,79,96
31,39,52,57,60,64,76,96
0,12,24,34,45,78,97,98
22,37,39,48,57,60,78,79
11,31,35,40,46,60,64,73
2,4,22,38,42,45,47,68
0,3,5,49,52,60,61,64
4,5,23,35,43,60,95,99
0,26,28,50,60,67,79,86
