0,1,2
40,66,81
46,95,127
51,114,121
57,84,113
6,21,56
45,61,70
28,40,101
0,37,111
29,62,115
58,80,96
47,88,96
7,95,119
13,87,107
47,74,100
14,43,47
0,13,82
15,77,97
92,95,119
15,33,94
65,90,105
31,96,113
1,10,54
7,29,37
14,95,119
80,114,123
68,101,126
7,14,19
98,114,127
14,74,87
7,47,70
100,114,127
23,45,127
5,14,123
0,47,96
52,101,126
9,56,105
45,90,111
30,45,90
51,105,119
10,15,47
14,47,95
5,54,114
10,38,117
35,40,92
0,45,92
19,58,94
26,40,51
9,62,123
46,104,123
28,47,82
11,29,80
27,97,123
23,45,80
32,83,92
23,82,89
3,31,47
9,39,123
35,103,117
0,64,123
80,100,114
14,28,91
12,83,85
14,95,119
19,22,51
