0,1,2
5,121,124
18,47,115
4,68,123
5,85,101
10,18,39
39,67,81
58,83,90
2,93,94
3,19,106
19,42,66
5,68,121
19,27,121
3,35,70
20,57,67
4,29,67
20,27,93
60,68,121
35,65,68
57,60,99
34,50,76
13,28,93
36,53,121
6,37,45
64,76,96
75,90,122
43,44,61
10,46,122
68,76,96
5,25,68
5,25,50
46,47,123
3,7,58
67,82,87
41,49,61
3,34,47
25,45,52
5,86,111
26,99,116
62,75,104
3,19,68
42,73,74
12,13,106
69,92,101
2,4,85
4,82,85
60,113,122
17,99,123
49,68,87
49,72,103
12,82,84
4,78,123
41,111,118
21,25,119
106,111,121
68,119,121
5,11,121
85,90,100
9,17,57
29,31,101
4,76,119
6,67,98
32,67,110
19,63,122
9,64,99
85,99,124
5,99,121
45,57,65
55,75,94
5,68,121
5,14,120
4,69,103
34,86,121
79,83,114
40,61,65
68,94,121
19,50,70
14,110,120
42,59,107
4,35,68
25,39,106
2,43,84
4,48,68
31,57,60
55,57,87
42,43,95
67,72,82
4,68,117
13,57,96
56,69,85
20,78,122
53,63,97
25,27,31
4,5,82
9,68,118
20,60,126
16,53,94
56,84,115
32,90,102
34,46,111
4,25,103
2,62,82
17,53,123
15,36,86
79,115,124
82,85,116
4,84,117
17,77,111
90,101,121
12,16,22
24,60,102
82,85,111
41,63,104
3,7,87
51,95,102
86,101,117
67,85,111
57,67,118
31,67,106
20,70,77
8,12,124
24,39,116
7,20,55
91,101,113
49,115,116
5,14,119
6,68,81
5,68,119
51,68,121
