0,1
3,9
6,13
2,3
14,15
10,14
3,4
2,10
7,9
6,15
4,11
3,14
5,12
5,11
1,2
3,13
7,14
3,5
7,12
2,14
0,3
1,8
2,7
0,7
1,12
4,14
2,15
3,5
1,12
2,4
4,7
8,14
10,14
2,15
10,15
2,10
5,15
9,15
0,2
5,9
9,12
4,13
13,15
12,13
1,14
1,15
3,4
3,7
14,15
4,11
3,4
11,14
3,9
11,14
0,2
11,14
0,1
3,14
3,14
1,15
3,14
3,4
6,9
5,13
4,9
3,8
10,14
4,11
4,14
2,3
4,7
4,13
1,8
9,14
6,14
4,11
1,11
9,14
5,14
6,14
0,1
1,10
2,13
7,8
0,3
11,14
4,10
5,14
4,14
0,9
4,7
0,4
7,14
5,8
0,3
0,10
0,15
2,14
5,14
3,10
1,14
3,8
1,14
1,9
6,11
2,15
4,11
2,14
4,10
2,11
6,7
10,14
2,15
3,6
0,10
4,5
6,12
4,15
1,12
10,14
11,14
2,3
3,10
9,15
7,15
1,15
0,10
3,10
0,12
