0,1,2
17,18,37
29,38,45
5,51,55
16,34,56
6,28,46
5,55,62
23,30,59
20,53,54
0,21,46
19,22,61
14,23,37
48,50,53
7,25,48
21,22,46
6,25,61
15,22,55
17,26,27
26,48,61
3,24,47
22,28,36
24,50,54
11,15,29
1,37,54
7,9,56
30,45,53
19,27,31
17,38,47
17,21,22
26,36,56
26,46,58
25,36,49
21,39,62
4,10,49
33,46,52
1,4,48
22,31,32
14,30,46
20,53,55
21,22,46
46,50,63
24,28,39
11,54,55
2,5,58
28,30,33
18,39,47
22,37,44
20,31,34
18,22,38
17,30,34
5,24,33
29,31,53
31,46,48
12,21,34
32,51,54
4,20,37
7,16,54
4,25,37
3,54,58
3,10,36
4,24,53
1,2,9
8,23,25
32,51,58
9,10,50
