0,1
0,11
0,14
3,4
4,14
2,14
2,9
3,14
10,14
3,14
14,15
12,14
13,15
7,8
14,15
0,1
9,10
0,1
2,3
4,14
13,14
12,13
6,14
4,9
2,14
3,8
2,15
3,4
1,9
9,11
3,5
2,3
2,7
4,14
4,14
3,14
1,9
4,14
2,5
4,15
2,4
0,1
2,14
2,4
7,15
5,7
3,11
0,5
3,11
4,11
1,15
0,8
3,14
0,11
2,8
2,3
7,11
0,4
10,13
8,10
5,11
5,14
3,5
9,14
3,11
10,11
3,4
0,6
5,14
0,4
4,10
6,12
4,11
3,4
2,14
4,14
4,9
0,2
3,5
8,12
4,8
0,12
3,4
1,14
10,11
1,14
7,11
8,15
0,10
9,15
10,14
3,14
2,11
11,14
0,15
3,6
2,15
1,2
3,15
10,14
5,12
0,15
1,14
1,3
4,14
0,13
1,10
1,14
5,6
0,15
2,4
8,9
0,2
2,14
10,15
4,15
3,14
2,11
4,12
2,3
3,13
8,14
2,9
1,15
0,11
13,14
0,14
3,10
7,14
