0,1,2
11,27,54
1,43,50
9,49,50
43,48,54
13,20,58
34,38,56
2,14,48
26,53,60
38,59,63
8,51,55
14,31,58
28,50,59
7,37,62
4,22,56
2,32,47
16,34,42
27,36,41
2,7,23
1,12,36
22,31,44
34,41,58
23,40,41
23,29,48
10,50,55
24,28,38
1,38,50
19,27,56
30,38,52
11,30,51
8,9,37
26,38,47
12,22,24
0,27,52
27,35,52
33,39,52
32,34,56
5,18,44
8,13,38
32,48,59
29,46,57
33,62,63
13,33,61
35,38,48
33,50,60
27,38,59
10,30,50
14,30,35
27,32,56
9,22,37
42,54,60
16,41,49
38,40,59
27,35,63
0,47,58
42,55,58
11,12,58
24,34,63
20,41,52
22,31,55
12,52,63
16,22,62
16,24,51
10,42,49
22,30,40
