0,1,2,3,4,5
5,24,31,73,89,94
10,17,23,70,76,92
11,29,43,44,85,89
20,29,50,55,62,92
21,27,32,47,77,85
8,12,14,22,57,69
14,26,33,45,94,96
4,14,15,21,38,69
13,14,27,73,74,92
1,7,12,15,73,99
32,59,65,72,82,98
5,45,47,79,81,91
8,16,25,29,55,63
3,30,64,87,96,99
14,21,54,64,76,89
8,26,32,33,53,67
1,24,35,38,73,78
23,37,42,61,62,99
48,60,67,77,85,96
17,34,44,53,58,82
8,12,20,21,24,98
13,24,27,75,85,90
2,22,47,51,65,92
4,8,14,43,58,62
12,27,31,36,77,91
12,21,42,44,59,61
24,25,29,31,79,97
47,57,63,80,92,99
14,15,37,48,82,99
9,22,41,49,62,88
16,64,67,69,72,95
17,29,47,58,76,95
27,28,37,54,65,93
6,9,52,86,87,90
27,34,45,67,74,99
19,24,78,82,85,87
7,12,22,59,73,94
10,23,25,35,82,98
3,6,27,40,72,96
1,4,28,35,67,91
12,20,31,34,35,97
32,57,68,90,92,94
1,42,62,72,93,98
4,9,15,34,89,92
20,25,28,29,39,61
0,15,16,48,86,89
2,4,53,64,67,96
16,18,32,50,82,87
12,30,52,65,72,81
1,56,75,87,94,98
0,28,40,65,87,95
27,31,48,73,80,88
13,28,67,68,89,98
9,26,43,44,76,92
6,11,28,29,37,51
9,25,33,48,93,96
3,7,13,28,53,76
6,10,11,86,88,89
25,30,55,56,70,98
6,18,65,68,94,99
31,58,59,75,84,86
25,33,39,41,54,97
24,32,38,45,62,83
4,6,15,77,92,93
32,37,39,45,91,98
11,32,40,77,88,92
1,7,15,22,78,96
2,6,10,50,55,77
9,18,19,48,50,72
5,23,68,76,80,86
56,71,74,80,84,88
36,39,67,82,89,97
10,39,45,59,85,92
20,31,46,53,57,71
46,58,65,77,79,99
10,28,38,47,55,82
4,22,28,33,87,93
8,24,33,43,53,93
13,18,26,32,35,90
28,31,37,57,61,99
11,29,31,58,64,95
4,9,58,79,93,94
18,19,30,50,58,59
6,9,29,59,84,87
28,42,50,76,95,98
5,16,31,55,71,95
5,12,30,49,66,90
1,5,14,70,76,80
28,31,74,78,89,95
1,15,59,87,92,93
0,5,39,45,51,63
0,9,13,38,56,61
18,41,46,69,76,95
20,44,58,86,92,93
5,13,36,67,85,92
9,15,21,23,83,85
4,5,9,19,35,75
10,23,36,46,61,84
3,5,39,45,54,81
1,18,47,93,97,98
