0,1,2,3,4,5
7,243,650,651,717,729
368,378,411,459,663,680
179,236,243,289,324,441
384,439,467,522,580,607
122,175,285,317,375,719
299,350,378,433,488,653
191,219,243,248,249,269
280,375,434,535,657,662
246,295,300,351,414,550
162,323,612,629,639,713
174,404,466,483,510,565
98,292,456,459,514,626
100,186,218,296,301,355
104,130,288,451,467,507
216,270,271,293,325,411
146,275,290,295,297,325
97,128,237,427,431,461
597,598,637,680,712,766
208,342,556,583,607,611
459,515,570,597,682,690
555,581,687,688,708,709
351,497,571,579,608,634
154,183,210,266,303,743
327,356,379,402,602,607
217,301,332,333,383,604
125,260,524,547,581,720
24,129,149,233,344,539
161,215,256,521,635,715
105,288,353,385,410,719
201,341,373,459,489,555
207,293,344,382,402,569
95,122,147,154,174,322
468,479,508,514,535,564
69,95,579,599,691,743
179,260,319,321,650,741
216,246,326,410,488,566
71,185,212,361,428,512
188,216,547,597,626,710
68,95,97,611,639,667
268,414,452,512,542,652
92,93,94,182,233,501
375,408,432,555,652,661
230,257,284,298,467,479
217,230,441,471,499,721
124,329,349,457,489,492
314,340,397,576,720,721
248,276,277,381,383,467
216,326,354,410,492,493
60,100,218,295,297,543
127,325,456,509,548,554
135,162,187,269,271,272
463,487,512,517,576,588
384,386,397,481,495,741
124,264,440,442,443,754
102,216,241,297,541,678
134,157,159,175,176,320
184,234,298,371,572,658
100,101,104,127,351,379
123,265,291,317,348,648
486,596,598,601,624,646
120,176,322,356,566,625
294,402,404,434,510,513
488,541,544,570,571,710
290,292,293,375,400,608
229,377,432,463,494,596
105,527,529,555,650,668
267,545,555,597,606,608
158,265,267,269,434,463
131,184,329,397,593,738
41,350,460,465,490,740
321,344,346,347,370,511
353,378,412,494,543,743
121,371,542,548,550,578
289,300,315,467,524,626
145,174,213,320,346,458
92,105,292,386,598,639
412,516,542,569,713,744
204,231,383,444,497,691
204,265,294,347,437,495
274,479,486,610,661,685
212,517,523,545,594,655
150,289,295,355,622,681
191,220,243,275,302,453
360,401,471,629,679,692
292,350,357,377,381,456
178,296,300,328,551,612
155,294,371,401,487,516
155,185,243,266,284,582
192,219,377,460,485,764
432,483,485,572,607,681
155,283,284,340,710,718
270,296,298,300,301,303
150,322,435,491,601,631
488,538,601,607,623,633
252,299,303,326,410,414
264,272,300,356,412,487
304,312,340,360,453,701
64,73,229,283,473,749
233,314,542,601,627,656
52,68,145,173,380,746
219,328,354,538,607,688
238,268,271,274,333,374
294,403,405,406,486,488
131,132,135,294,360,426
332,370,374,387,430,499
151,237,269,296,482,555
129,186,213,269,296,348
289,290,432,489,592,712
156,247,271,356,402,482
71,292,630,712,715,717
72,97,271,296,357,407
120,156,213,246,272,482
154,181,209,237,293,296
349,350,356,488,523,680
131,325,327,395,463,549
248,456,521,543,550,567
238,242,270,293,297,325
245,296,376,454,523,537
173,201,289,581,607,636
159,161,204,265,297,421
67,83,416,444,500,526
157,247,597,603,663,665
131,148,303,315,499,709
64,263,388,557,680,712
121,123,255,291,299,501
484,485,486,487,516,567
226,305,330,414,437,442
132,349,401,521,536,620
259,388,402,508,574,599
183,207,237,461,550,604
298,324,351,379,433,686
130,136,188,263,267,268
122,153,235,263,287,460
124,207,241,386,655,713
96,177,288,290,314,373
292,319,326,345,351,583
234,256,480,481,513,542
151,213,232,264,292,661
481,510,512,513,515,517
192,419,473,722,745,746
148,176,209,264,316,603
292,319,402,466,471,492
87,267,285,320,441,520
102,238,240,243,245,604
151,324,408,458,463,547
25,516,633,684,716,719
161,239,402,440,514,518
259,350,403,629,677,681
127,133,180,207,263,497
404,408,426,429,430,454
289,292,317,342,373,406
95,129,145,146,148,276
206,323,347,429,458,488
216,290,373,378,433,437
109,438,567,569,663,679
350,355,400,407,462,517
74,332,717,719,745,746
186,356,388,489,517,712
232,246,374,483,625,630
201,228,532,684,685,717
321,344,376,415,460,744
134,219,248,276,579,607
179,180,186,208,236,264
407,437,518,610,677,679
152,243,247,248,284,486
69,319,355,473,524,648
106,107,192,249,715,737
349,404,431,443,459,485
351,352,521,592,660,664
61,203,208,347,526,554
212,373,381,409,626,742
294,320,346,347,371,372
134,162,352,380,508,522
206,215,295,369,379,660
313,371,377,399,428,589
190,576,607,635,639,665
96,185,190,237,239,326
428,430,459,460,484,489
298,409,569,577,609,710
377,464,684,686,690,691
322,401,402,405,463,678
102,127,208,233,290,712
18,241,259,429,456,457
380,543,545,546,719,740
300,328,380,434,463,653
242,292,299,347,360,448
92,93,120,390,740,741
188,256,283,340,441,470
122,132,179,382,464,627
100,101,572,600,631,735
97,125,180,208,430,592
234,570,601,651,677,679
349,401,514,522,662,666
220,320,358,511,599,652
131,179,206,261,332,636
150,156,178,493,578,633
202,204,262,264,265,399
207,401,519,546,573,653
180,211,316,377,467,484
190,236,385,480,683,694
132,301,347,397,400,482
148,188,347,402,426,639
152,154,157,187,717,740
326,358,468,523,574,725
302,327,331,396,436,490
292,315,316,317,318,343
434,459,526,574,662,664
51,102,326,425,435,443
154,472,473,519,634,665
216,303,330,400,438,669
216,524,607,608,632,684
245,329,352,368,370,386
185,240,430,540,652,684
272,346,431,459,510,516
161,184,239,286,294,386
206,408,568,602,604,742
318,320,482,640,666,719
95,96,248,333,618,646
261,263,487,589,712,740
242,324,354,383,437,465
102,267,299,330,401,651
100,185,210,264,276,601
118,191,219,285,312,490
546,547,631,633,685,711
147,384,388,405,408,601
380,489,513,605,626,757
131,333,374,519,527,649
513,545,596,597,599,743
351,388,416,484,539,622
132,369,519,527,708,733
409,430,465,544,572,683
242,296,433,472,580,581
290,373,376,400,414,456
173,201,395,498,542,636
192,214,276,296,355,512
275,327,428,633,685,772
212,553,603,606,684,687
175,179,181,211,286,291
207,434,444,573,663,712
267,268,297,326,327,630
123,126,132,541,599,712
122,584,610,612,640,677
245,325,326,355,373,550
128,190,243,412,457,510
315,396,596,605,661,690
571,574,656,661,682,686
179,383,466,515,520,548
301,380,383,411,467,555
214,295,300,408,485,607
173,607,627,629,631,633
51,236,261,267,408,424
127,128,212,265,570,572
260,428,437,528,555,606
134,543,574,575,681,708
25,303,409,464,495,521
314,343,346,399,424,519
