0,1,2,3,4,5
0,63,133,170,181,190
14,70,92,132,155,175
20,148,179,191,238,244
54,63,96,125,155,207
1,63,177,180,251,252
44,168,206,244,245,249
28,102,141,144,235,246
29,51,131,195,216,232
37,105,129,154,182,244
25,40,80,129,162,237
53,130,140,211,223,253
12,46,50,76,164,208
51,52,92,121,218,223
56,65,147,184,212,228
45,55,60,155,204,219
3,152,167,211,247,251
160,169,177,216,252,255
16,58,62,131,143,174
110,146,171,173,242,249
13,30,87,135,203,238
40,91,153,161,176,245
31,52,130,172,202,253
25,29,39,128,189,246
12,69,78,113,168,173
50,87,112,198,200,213
53,70,196,201,216,237
5,43,80,93,135,136
22,67,105,106,212,234
19,35,37,74,95,126
10,120,121,134,178,200
76,104,129,135,146,204
86,105,141,155,160,239
19,25,49,125,130,167
8,42,47,80,118,219
9,14,64,91,94,116
46,48,87,111,184,226
19,82,143,162,196,251
70,100,167,201,238,246
17,80,92,179,191,223
10,67,76,104,231,237
80,111,121,182,195,249
7,36,64,143,211,239
11,46,141,149,158,167
62,135,138,176,183,246
70,118,164,205,215,236
20,44,127,148,155,178
19,79,115,125,196,252
30,86,141,154,195,227
64,84,102,135,152,189
66,71,160,168,173,176
61,81,143,160,213,251
1,5,61,74,104,205
15,84,113,138,149,232
3,29,64,102,230,237
3,106,210,239,243,245
93,115,138,160,177,227
4,71,92,145,192,225
96,102,154,178,232,250
53,55,128,171,210,214
18,25,73,113,222,228
4,55,125,138,149,180
61,64,100,113,176,228
39,103,113,136,150,177
30,70,137,167,187,205
22,112,143,148,208,237
62,87,158,185,225,246
5,34,102,113,207,213
3,20,39,42,72,209
41,46,112,135,168,182
1,36,46,50,106,116
9,22,64,74,176,214
78,96,135,143,200,219
5,127,138,163,167,177
71,103,108,140,180,243
66,67,111,174,196,205
4,61,78,144,161,179
26,50,63,69,117,171
14,64,83,101,106,157
16,39,94,95,138,227
112,132,134,150,174,239
113,162,171,176,201,216
87,132,152,181,196,240
21,45,63,176,192,255
24,60,94,176,244,254
60,170,196,204,243,255
28,30,53,84,137,220
106,112,148,159,202,216
55,92,101,125,179,236
64,111,118,119,144,178
111,140,152,192,211,251
29,34,46,150,158,205
16,80,92,125,172,234
61,116,121,134,202,213
21,33,72,84,153,168
3,25,41,77,179,208
14,24,46,109,219,247
70,80,98,137,226,249
27,55,71,98,118,194
48,72,79,89,177,179
76,83,158,170,185,238
