0,1,2,3,4,5
28,32,37,54,58,76
3,38,49,55,86,94
3,43,45,56,59,93
33,39,62,68,84,95
4,10,44,58,77,99
9,17,40,58,71,94
18,20,41,50,78,88
15,20,28,31,49,99
24,37,38,43,75,96
31,32,38,46,49,55
0,7,26,48,58,73
9,38,42,45,51,74
2,11,38,39,47,75
4,26,58,70,77,90
3,12,29,49,50,90
20,34,37,51,55,86
0,31,58,74,88,94
0,1,2,37,46,74
15,55,65,78,83,94
1,6,7,52,56,76
18,29,47,80,84,95
15,31,41,59,67,96
7,10,70,88,89,99
6,20,22,28,43,68
14,44,61,68,73,77
18,52,59,68,83,98
1,20,23,24,53,75
17,35,48,72,86,92
0,13,18,35,51,53
44,72,75,78,88,93
1,10,61,66,81,96
26,32,41,49,52,59
4,6,15,65,70,90
0,3,42,46,70,80
31,44,56,66,74,85
12,13,44,58,75,77
16,43,50,53,63,98
16,22,27,35,59,94
16,26,56,58,70,90
10,58,61,77,91,92
19,41,54,81,90,94
4,18,23,28,60,72
21,26,28,32,69,97
14,41,60,66,69,80
11,22,37,39,51,96
15,18,75,81,90,94
1,15,22,25,41,93
31,35,44,64,65,99
14,52,60,66,74,82
5,20,21,51,78,97
15,26,45,60,66,93
5,10,18,43,95,96
12,31,57,76,83,94
1,3,5,15,78,82
10,15,30,44,52,76
21,65,68,71,80,89
20,33,35,50,51,88
4,52,57,70,75,76
3,20,30,36,43,73
14,34,59,60,65,94
6,27,30,67,73,78
18,20,33,56,90,98
9,21,36,51,63,89
24,31,69,93,95,97
4,26,59,71,94,97
13,15,41,49,64,95
42,50,55,73,74,84
23,29,41,46,62,81
1,13,16,43,48,99
41,49,59,66,67,80
11,28,53,61,73,83
16,63,79,89,91,93
20,24,57,66,81,87
12,30,41,51,60,92
0,16,22,37,53,55
1,4,11,54,85,94
4,9,17,56,95,99
7,27,41,61,71,75
0,11,13,17,65,89
17,52,71,75,79,99
3,24,25,29,53,60
2,8,38,48,85,97
21,48,53,78,88,90
11,31,58,76,88,93
19,32,35,66,71,86
12,23,27,37,67,95
10,20,36,51,81,87
15,39,41,52,55,63
7,17,31,32,49,55
1,9,27,62,67,80
35,46,65,81,85,87
31,37,41,62,83,89
3,11,25,69,87,92
25,34,61,68,77,87
20,24,40,68,71,94
20,31,37,41,44,74
10,17,40,48,55,80
12,19,31,39,71,77
19,35,46,53,56,63
32,45,69,75,83,85
