0,1,2,3,4,5
7,9,42,46,55,85
9,29,39,46,53,66
35,42,58,67,81,99
6,29,42,80,88,94
12,37,45,58,59,71
20,26,39,44,89,96
5,22,34,49,68,83
10,35,46,61,72,92
3,5,15,59,61,73
8,34,38,53,59,95
29,69,74,83,85,90
44,68,81,82,88,91
6,36,39,47,61,72
1,10,41,46,65,74
7,34,47,56,74,98
5,19,25,52,66,84
7,36,66,70,83,97
18,27,28,66,84,90
3,20,29,39,61,83
7,9,37,47,51,90
4,18,42,44,57,65
1,9,27,35,50,77
0,15,44,58,70,84
7,12,38,46,67,98
19,33,38,57,71,73
18,36,48,72,86,94
2,14,15,36,91,99
11,19,28,44,95,97
3,34,45,53,71,74
13,25,45,49,81,96
6,29,36,41,50,61
16,38,58,59,73,82
34,37,53,59,63,70
1,29,41,75,77,78
5,10,22,80,86,92
25,54,56,70,76,93
35,45,60,64,68,87
5,21,43,47,76,96
26,31,40,53,56,91
36,68,75,85,87,99
11,31,51,78,79,90
2,42,51,57,66,68
13,20,29,35,67,90
11,13,27,82,88,98
13,23,36,49,64,80
10,12,25,28,87,90
2,11,24,26,46,79
0,14,26,34,45,64
6,23,28,38,70,80
0,34,57,67,85,90
6,20,26,45,49,72
35,39,47,77,91,98
10,16,41,73,76,80
7,18,40,80,87,93
42,70,72,79,80,84
12,28,32,36,39,40
13,32,38,73,77,88
29,30,44,65,66,96
0,17,46,47,78,92
8,11,38,55,61,64
4,9,13,28,75,86
4,15,19,70,71,73
3,12,31,36,42,45
19,41,45,64,67,76
28,49,63,70,85,89
16,31,46,70,71,72
0,39,41,42,71,90
5,14,52,59,67,75
32,42,47,78,88,94
9,29,34,49,58,95
7,11,26,47,76,92
6,25,28,73,74,85
18,46,53,59,72,87
23,39,44,64,80,90
8,42,44,45,68,76
22,33,55,71,89,90
18,25,43,73,76,91
5,10,26,29,66,83
36,63,69,84,88,92
18,22,29,45,50,55
11,39,42,51,81,96
1,10,16,28,87,88
24,47,62,67,75,79
20,21,66,78,83,90
16,19,20,38,53,84
28,38,42,52,73,87
14,18,59,70,72,86
8,38,74,75,76,98
46,47,52,65,80,91
8,20,21,42,66,98
40,42,49,60,81,98
5,9,16,20,32,52
28,29,51,89,95,96
5,22,37,60,63,99
7,13,53,72,76,79
26,48,67,83,96,97
33,52,55,64,80,90
3,10,53,80,81,96
6,9,26,40,88,89
10,12,39,64,81,97
