0,1,2,3,4,5
153,179,181,236,265,570
480,556,584,679,708,735
162,184,187,188,201,268
189,212,239,429,462,516
321,347,369,373,374,400
162,163,270,399,430,540
349,431,457,510,512,538
99,101,127,180,209,425
298,331,354,385,495,619
483,510,513,514,516,625
175,233,235,244,285,315
122,159,383,399,599,681
100,131,189,228,270,352
239,268,405,430,439,773
98,264,354,409,492,650
377,492,597,605,624,737
544,545,573,652,655,657
261,490,510,583,629,667
216,219,236,240,260,543
267,270,293,297,325,408
203,210,348,424,485,544
183,233,301,719,741,742
125,185,269,300,544,597
130,162,350,397,592,751
161,244,245,268,270,275
360,376,377,486,597,714
96,155,234,242,267,497
377,425,436,437,467,741
13,214,220,248,578,607
378,456,602,606,608,624
178,181,204,274,292,351
525,604,609,637,665,720
125,133,262,303,454,579
267,453,555,600,602,614
76,377,401,484,654,745
330,344,348,458,483,526
401,435,468,479,521,686
74,116,304,323,331,333
180,261,266,286,291,397
209,273,295,321,326,381
493,496,538,552,606,633
291,318,432,511,512,649
210,239,294,372,374,435
294,300,349,492,505,711
455,456,486,488,489,507
211,258,275,328,329,427
102,123,161,275,296,573
578,579,667,691,692,716
209,328,348,379,546,625
151,286,386,548,719,745
294,327,482,493,511,545
188,216,243,271,411,415
302,330,356,384,387,652
150,179,234,263,291,303
94,121,163,185,730,733
460,550,577,604,683,684
175,285,424,454,693,706
323,351,376,378,434,516
213,342,370,389,417,625
271,322,323,379,406,435
193,430,457,485,576,717
295,303,380,436,464,467
240,244,274,383,385,662
190,228,284,520,627,682
204,324,350,488,505,713
496,523,607,659,678,708
112,439,496,551,634,720
154,177,186,241,245,296
175,374,444,470,528,610
397,412,460,518,575,637
466,483,521,546,547,578
272,327,332,358,678,717
97,339,345,376,401,631
149,325,326,514,643,732
332,360,522,569,579,633
147,274,432,519,540,622
202,263,286,287,289,320
154,230,239,265,507,567
191,215,216,219,220,269
145,173,416,514,670,677
99,127,158,159,268,290
131,156,215,217,240,244
350,376,401,403,611,661
25,324,380,463,464,550
235,266,339,349,367,685
154,209,214,297,355,356
112,354,570,651,679,703
182,187,191,411,461,466
180,182,185,187,211,525
355,357,414,514,567,710
95,108,294,325,378,443
72,387,549,631,633,657
85,238,241,272,327,654
321,328,441,487,492,527
158,270,434,461,656,663
346,407,437,562,620,626
329,379,415,438,677,682
217,405,466,527,631,719
180,309,373,386,398,425
