0,1,2,3,4,5
7,17,36,49,51,76
7,14,34,36,41,78
2,16,30,59,89,90
4,15,32,75,90,91
16,27,29,46,69,96
20,28,37,43,49,56
57,58,76,78,80,83
12,18,30,34,48,64
29,33,36,56,74,94
9,20,26,51,65,67
22,35,41,47,53,89
13,17,45,67,78,96
1,14,22,27,74,95
28,45,55,70,74,98
1,12,15,74,76,91
6,22,71,74,78,82
12,45,59,70,74,93
24,54,65,78,79,87
17,22,31,39,79,96
2,15,53,66,74,79
8,13,16,20,30,72
5,34,37,59,75,92
11,52,53,54,68,86
8,13,22,27,51,69
9,14,21,36,50,98
13,25,39,58,69,96
3,21,45,58,83,91
17,32,75,76,81,96
14,17,22,38,54,74
9,35,62,79,81,97
10,33,36,69,77,84
0,31,55,74,75,85
27,32,37,42,65,99
13,22,50,62,80,93
24,37,44,51,64,90
20,23,47,55,61,62
4,34,39,67,80,86
0,35,37,58,78,92
8,16,27,56,81,88
2,21,49,74,76,89
0,11,20,40,83,94
27,40,52,56,86,97
3,13,20,46,78,94
43,45,56,63,68,83
12,32,45,61,68,80
22,27,54,55,64,91
34,46,51,68,94,95
0,15,22,23,47,54
6,8,72,88,89,93
11,44,80,82,83,87
22,26,36,69,77,95
11,13,22,25,49,80
5,8,27,47,52,64
4,20,21,38,39,47
5,24,29,61,62,87
6,15,48,69,91,99
7,17,20,31,67,99
6,15,18,40,59,81
12,27,37,54,57,77
6,16,42,43,44,89
9,12,15,19,30,35
17,21,42,43,80,93
14,20,24,58,62,90
15,41,54,91,93,96
11,20,37,46,75,82
4,25,37,53,72,92
15,26,29,60,66,83
71,75,78,82,85,98
4,24,40,49,53,86
37,72,74,79,82,84
5,6,16,24,40,45
1,33,37,55,60,94
11,33,34,38,54,91
12,30,63,70,95,97
26,32,33,48,65,77
0,29,44,56,60,66
18,25,26,35,53,61
12,13,26,57,59,94
17,49,71,74,84,88
22,25,38,54,68,80
3,10,32,65,74,96
11,14,61,82,87,97
36,58,66,76,86,94
16,19,31,76,81,99
5,41,48,49,74,86
17,25,74,77,95,97
4,8,57,66,93,99
40,45,52,63,69,96
5,18,46,52,59,70
2,43,51,69,73,97
4,36,42,51,58,95
3,5,16,62,75,83
4,24,26,38,57,74
15,22,35,73,89,91
16,24,41,45,67,92
18,37,51,59,60,74
51,60,77,90,94,99
2,14,28,63,64,99
12,41,50,54,74,81
4,12,24,53,54,77
